# T3 paper diagnostic metrics — all per-run scalars from summary_T*.csv (read, not recomputed)
# Source: webwalkerqa/run/run_main_table.py compute_qpd / compute_itc / compute_atc
# QPD = Query Pairwise Diversity: mean Jaccard distance over all pairs of turn-1 queries across the k threads (per question, then averaged over questions)
# ITC = Inter-Turn Coherence: per thread, mean Jaccard similarity of turn-1 query vs each later turn's query; averaged over threads then questions
# ATC = Across-Thread Coherence (despite the name, this is a DISTANCE): per turn, mean pairwise Jaccard distance between threads' queries; averaged across turns and questions
# Sequential (k=1) writes 0.0 for all three metrics by construction (no pair to compare).
model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC,source_dir
gemma3-12b,hle,diversity_parallel,8,1,500,0.8603175459999997,0.2429598560000002,0.702180478,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_1
gemma3-12b,hle,diversity_parallel,8,2,500,0.8614359939999998,0.2409438819999999,0.7032170539999998,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_2
gemma3-12b,hle,diversity_parallel,8,3,500,0.8611706279999994,0.242063078,0.7036612559999998,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_3
gemma3-12b,hle,naive_parallel,4,1,500,0.3516917579999999,0.4114881080000003,0.480431112,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_1
gemma3-12b,hle,naive_parallel,4,2,500,0.3543518280000002,0.4078180739999995,0.4802438379999996,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_2
gemma3-12b,hle,naive_parallel,4,3,500,0.3481690520000003,0.417638986,0.4748514999999996,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_3
gemma3-12b,hle,naive_parallel,8,1,500,0.3631118239999998,0.4148460079999997,0.4899004019999994,main_table_clueweb_t8/gemma3-12b/hle/naive_k8/run_1
gemma3-12b,hle,naive_parallel,8,2,500,0.3561666560000001,0.414368448,0.4877732400000001,main_table_clueweb_t8/gemma3-12b/hle/naive_k8/run_2
gemma3-12b,hle,naive_parallel,8,3,500,0.3536883239999996,0.4189955759999999,0.4793614379999998,main_table_clueweb_t8/gemma3-12b/hle/naive_k8/run_3
gemma3-12b,hle,sequential,1,1,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hle/seq/run_1
gemma3-12b,hle,sequential,1,2,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hle/seq/run_2
gemma3-12b,hle,sequential,1,3,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hle/seq/run_3
gemma3-12b,hotpotqa,diversity_parallel,4,1,512,0.8785625253906244,0.000651041015625,0.8785625253906244,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k4/run_1
gemma3-12b,hotpotqa,diversity_parallel,4,2,512,0.8751661484374991,0.0,0.8751661484374991,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k4/run_2
gemma3-12b,hotpotqa,diversity_parallel,4,3,512,0.8768195312499988,0.0,0.8768195312499988,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k4/run_3
gemma3-12b,hotpotqa,diversity_parallel,8,1,512,0.8278615429687508,0.0225503242187499,0.8277144589843757,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k8/run_1
gemma3-12b,hotpotqa,diversity_parallel,8,2,512,0.8300445976562504,0.031767005859375,0.8299315625000004,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k8/run_2
gemma3-12b,hotpotqa,diversity_parallel,8,3,512,0.8280900898437507,0.0194051953125,0.8278279023437506,main_table_clueweb_t8/gemma3-12b/hotpotqa/div_k8/run_3
gemma3-12b,hotpotqa,naive_parallel,4,1,512,0.06968040234375,0.0,0.06968040234375,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k4/run_1
gemma3-12b,hotpotqa,naive_parallel,4,2,512,0.0539784277343749,0.0,0.0539784277343749,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k4/run_2
gemma3-12b,hotpotqa,naive_parallel,4,3,512,0.072318099609375,0.001953125,0.072318099609375,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k4/run_3
gemma3-12b,hotpotqa,naive_parallel,8,1,512,0.1324916542968748,0.017142251953125,0.1326629980468749,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k8/run_1
gemma3-12b,hotpotqa,naive_parallel,8,2,512,0.129374376953125,0.017556015625,0.129612591796875,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k8/run_2
gemma3-12b,hotpotqa,naive_parallel,8,3,512,0.120988755859375,0.015360119140625,0.1214856484375,main_table_clueweb_t8/gemma3-12b/hotpotqa/naive_k8/run_3
gemma3-12b,hotpotqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hotpotqa/seq/run_1
gemma3-12b,hotpotqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hotpotqa/seq/run_2
gemma3-12b,hotpotqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/hotpotqa/seq/run_3
gemma3-12b,musique,diversity_parallel,4,1,512,0.8938547519531244,0.151362572265625,0.804134689453124,main_table_clueweb_t8/gemma3-12b/musique/div_k4/run_1
gemma3-12b,musique,diversity_parallel,4,2,512,0.8929100488281244,0.1486667304687497,0.8008585820312503,main_table_clueweb_t8/gemma3-12b/musique/div_k4/run_2
gemma3-12b,musique,diversity_parallel,4,3,512,0.8934076894531242,0.1488855156249999,0.7994102207031246,main_table_clueweb_t8/gemma3-12b/musique/div_k4/run_3
gemma3-12b,musique,diversity_parallel,8,1,512,0.8496070566406249,0.154108654296875,0.7784859570312492,main_table_clueweb_t8/gemma3-12b/musique/div_k8/run_1
gemma3-12b,musique,diversity_parallel,8,2,512,0.8483413378906243,0.1530766035156252,0.781034568359375,main_table_clueweb_t8/gemma3-12b/musique/div_k8/run_2
gemma3-12b,musique,diversity_parallel,8,3,512,0.8500903574218753,0.1493046093750001,0.7774422402343751,main_table_clueweb_t8/gemma3-12b/musique/div_k8/run_3
gemma3-12b,musique,naive_parallel,4,1,512,0.222835314453125,0.1740860878906249,0.4221151210937501,main_table_clueweb_t8/gemma3-12b/musique/naive_k4/run_1
gemma3-12b,musique,naive_parallel,4,2,512,0.22497986328125,0.1710740371093749,0.4297715312500005,main_table_clueweb_t8/gemma3-12b/musique/naive_k4/run_2
gemma3-12b,musique,naive_parallel,4,3,512,0.2198552734375002,0.169778134765625,0.4167763105468749,main_table_clueweb_t8/gemma3-12b/musique/naive_k4/run_3
gemma3-12b,musique,naive_parallel,8,1,512,0.2218494042968749,0.174464564453125,0.4262305234375,main_table_clueweb_t8/gemma3-12b/musique/naive_k8/run_1
gemma3-12b,musique,naive_parallel,8,2,512,0.2180345546875,0.1726212187499998,0.4259399023437495,main_table_clueweb_t8/gemma3-12b/musique/naive_k8/run_2
gemma3-12b,musique,naive_parallel,8,3,512,0.2249310039062501,0.1722605761718751,0.4273558144531251,main_table_clueweb_t8/gemma3-12b/musique/naive_k8/run_3
gemma3-12b,musique,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/musique/seq/run_1
gemma3-12b,musique,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/musique/seq/run_2
gemma3-12b,musique,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/musique/seq/run_3
gemma3-4b,2wikimultihopqa,diversity_parallel,4,1,512,0.9114873906249998,0.001743451171875,0.9114873906249998,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k4/run_1
gemma3-4b,2wikimultihopqa,diversity_parallel,4,2,512,0.9106962285156244,0.0,0.9106962285156244,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k4/run_2
gemma3-4b,2wikimultihopqa,diversity_parallel,4,3,512,0.9089140898437504,0.006615046875,0.9089140898437504,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k4/run_3
gemma3-4b,2wikimultihopqa,diversity_parallel,8,1,512,0.8604303183593751,0.024266556640625,0.8604303183593751,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k8/run_1
gemma3-4b,2wikimultihopqa,diversity_parallel,8,2,512,0.8630029707031247,0.018755607421875,0.8630029707031247,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k8/run_2
gemma3-4b,2wikimultihopqa,diversity_parallel,8,3,512,0.862539453125,0.0241537734374999,0.862539453125,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/div_k8/run_3
gemma3-4b,2wikimultihopqa,naive_parallel,4,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k4/run_1
gemma3-4b,2wikimultihopqa,naive_parallel,4,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k4/run_2
gemma3-4b,2wikimultihopqa,naive_parallel,4,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k4/run_3
gemma3-4b,2wikimultihopqa,naive_parallel,8,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k8/run_1
gemma3-4b,2wikimultihopqa,naive_parallel,8,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k8/run_2
gemma3-4b,2wikimultihopqa,naive_parallel,8,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/naive_k8/run_3
gemma3-4b,2wikimultihopqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/seq/run_1
gemma3-4b,2wikimultihopqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/seq/run_2
gemma3-4b,2wikimultihopqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/2wikimultihopqa/seq/run_3
gemma3-4b,GAIA,diversity_parallel,4,1,103,0.8585816213592233,0.3804888155339807,0.7045484757281555,main_table_clueweb_t8/gemma3-4b/GAIA/div_k4/run_1
gemma3-4b,GAIA,diversity_parallel,4,2,103,0.8740781844660198,0.3629017961165048,0.7257221262135921,main_table_clueweb_t8/gemma3-4b/GAIA/div_k4/run_2
