# T3 paper plot-ready diagnostic metrics — per-seed, both groups in one file
# group: mhqa = ClueWeb runs on hotpotqa/musique/2wiki/bamboogle/frames (5 datasets × 5 models)
#        reasoning = Serper runs on gaia/hle/webwalker (3 datasets × 4 models)
# condition: naive_k4 | div_k4 | naive_k8 | div_k8 (k=4 or k=8 parallel only)
# seeds: 1, 2, 3 (consistent across cells; older 5-seed runs trimmed for fair error bars)
# Paper-facing rename (from metric_names.txt): QPD, ITC, ATC column = ATD
group,model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC
mhqa,gemma3-4b,2wikimultihopqa,naive_k4,4,3,512,0.0,0.0,0.0
mhqa,gemma3-4b,2wikimultihopqa,naive_k8,8,1,512,0.0,0.0,0.0
mhqa,gemma3-4b,2wikimultihopqa,naive_k8,8,2,512,0.0,0.0,0.0
mhqa,gemma3-4b,2wikimultihopqa,naive_k8,8,3,512,0.0,0.0,0.0
mhqa,gemma3-4b,bamboogle,div_k4,4,1,125,0.9421501679999996,0.2278491039999999,0.8394520960000004
mhqa,gemma3-4b,bamboogle,div_k4,4,2,125,0.9415034480000002,0.229457864,0.8138095599999998
mhqa,gemma3-4b,bamboogle,div_k4,4,3,125,0.9405224960000002,0.208107688,0.8407130239999998
mhqa,gemma3-4b,bamboogle,div_k8,8,1,125,0.9038853520000004,0.212432504,0.8155333359999999
mhqa,gemma3-4b,bamboogle,div_k8,8,2,125,0.9133961920000004,0.2117585440000001,0.8106772959999999
mhqa,gemma3-4b,bamboogle,div_k8,8,3,125,0.8991238719999999,0.2210735359999999,0.8027239760000001
mhqa,gemma3-4b,bamboogle,naive_k4,4,1,125,0.180779112,0.359791328,0.3382795280000001
mhqa,gemma3-4b,bamboogle,naive_k4,4,2,125,0.194565568,0.3247219200000001,0.3575006800000001
mhqa,gemma3-4b,bamboogle,naive_k4,4,3,125,0.147847104,0.329277856,0.3110377360000001
mhqa,gemma3-4b,bamboogle,naive_k8,8,1,125,0.176128184,0.3678806400000001,0.39018164
mhqa,gemma3-4b,bamboogle,naive_k8,8,2,125,0.177994136,0.3740927040000001,0.3860330720000003
mhqa,gemma3-4b,bamboogle,naive_k8,8,3,125,0.168516496,0.3692686639999999,0.327264376
mhqa,gemma3-4b,frames,div_k4,4,1,824,0.9259576844660198,0.240446691747573,0.784027929611651
mhqa,gemma3-4b,frames,div_k4,4,2,824,0.9247952779126216,0.2439632184466022,0.7771403883495145
mhqa,gemma3-4b,frames,div_k4,4,3,824,0.926451542475728,0.2414183810679613,0.7795826165048544
mhqa,gemma3-4b,frames,div_k8,8,1,824,0.8838070485436891,0.2428175873786408,0.7585268361650486
mhqa,gemma3-4b,frames,div_k8,8,2,824,0.883310165048543,0.2463058349514563,0.7586267063106811
mhqa,gemma3-4b,frames,div_k8,8,3,824,0.8846144053398063,0.2455136262135921,0.7621363446601938
mhqa,gemma3-4b,frames,naive_k4,4,1,824,0.2429345618932038,0.4331899854368936,0.4261855194174759
mhqa,gemma3-4b,frames,naive_k4,4,2,824,0.2481856480582519,0.4378323470873786,0.4330014502427185
mhqa,gemma3-4b,frames,naive_k4,4,3,824,0.2433665230582522,0.4341512682038838,0.4255801177184466
mhqa,gemma3-4b,frames,naive_k8,8,1,824,0.2459649126213591,0.4393063349514563,0.436645055825243
mhqa,gemma3-4b,frames,naive_k8,8,2,824,0.2457076541262134,0.442181169902912,0.4331997645631064
mhqa,gemma3-4b,frames,naive_k8,8,3,824,0.2442949830097087,0.4384407451456312,0.4288925242718448
mhqa,gemma3-4b,hotpotqa,div_k4,4,1,512,0.9171937246093752,0.007345146484375,0.9171937246093752
mhqa,gemma3-4b,hotpotqa,div_k4,4,2,512,0.919283328125,0.004590380859375,0.919283328125
mhqa,gemma3-4b,hotpotqa,div_k4,4,3,512,0.9195459355468752,0.003252109375,0.9195459355468752
mhqa,gemma3-4b,hotpotqa,div_k8,8,1,512,0.8715989843749996,0.019618107421875,0.8716010410156246
mhqa,gemma3-4b,hotpotqa,div_k8,8,2,512,0.8751380664062498,0.01895548828125,0.8751380664062498
mhqa,gemma3-4b,hotpotqa,div_k8,8,3,512,0.8743588750000008,0.0220966386718749,0.8742877265625008
mhqa,gemma3-4b,hotpotqa,naive_k4,4,1,512,0.0,0.000651041015625,0.0
mhqa,gemma3-4b,hotpotqa,naive_k4,4,2,512,0.0,0.0,0.0
mhqa,gemma3-4b,hotpotqa,naive_k4,4,3,512,0.0,0.0001953125,0.0
mhqa,gemma3-4b,hotpotqa,naive_k8,8,1,512,0.001929875,0.0008680546875,0.001929875
mhqa,gemma3-4b,hotpotqa,naive_k8,8,2,512,0.0,0.0,0.0
mhqa,gemma3-4b,hotpotqa,naive_k8,8,3,512,0.002197265625,0.0,0.002197265625
mhqa,gemma3-4b,musique,div_k4,4,1,512,0.9247380605468756,0.2198053847656249,0.827008234374999
mhqa,gemma3-4b,musique,div_k4,4,2,512,0.9225080410156248,0.2160992890625,0.8227556367187504
mhqa,gemma3-4b,musique,div_k4,4,3,512,0.9232738906249992,0.221369775390625,0.8182006113281257
mhqa,gemma3-4b,musique,div_k8,8,1,512,0.8874232988281245,0.2236566191406249,0.8020607617187497
mhqa,gemma3-4b,musique,div_k8,8,2,512,0.883658673828125,0.2278545820312501,0.8010378457031256
mhqa,gemma3-4b,musique,div_k8,8,3,512,0.8865819238281247,0.2204671503906249,0.8005007148437495
mhqa,gemma3-4b,musique,naive_k4,4,1,512,0.228485296875,0.3633966679687502,0.4403039667968749
mhqa,gemma3-4b,musique,naive_k4,4,2,512,0.2423573359374998,0.3609050703125001,0.4420688945312501
mhqa,gemma3-4b,musique,naive_k4,4,3,512,0.2491476992187499,0.3631025683593749,0.4409256835937499
mhqa,gemma3-4b,musique,naive_k8,8,1,512,0.248586109375,0.4355074218750003,0.503648720703125
mhqa,gemma3-4b,musique,naive_k8,8,2,512,0.2476477988281249,0.4362637011718745,0.4975265722656246
mhqa,gemma3-4b,musique,naive_k8,8,3,512,0.2502015546875,0.3694728125000001,0.4492389140625001
mhqa,qwen3-1.7b,2wikimultihopqa,div_k4,4,1,512,0.63820348828125,0.4160077656249998,0.621094380859375
mhqa,qwen3-1.7b,2wikimultihopqa,div_k4,4,2,512,0.6358657695312493,0.4306479160156248,0.622305173828125
mhqa,qwen3-1.7b,2wikimultihopqa,div_k4,4,3,512,0.6347683066406249,0.4154243710937499,0.6160009980468745
mhqa,qwen3-1.7b,2wikimultihopqa,div_k8,8,1,512,0.57303840234375,0.5159814335937499,0.5601763984375002
mhqa,qwen3-1.7b,2wikimultihopqa,div_k8,8,2,512,0.569768078125001,0.5119657148437501,0.5554419687500002
mhqa,qwen3-1.7b,2wikimultihopqa,div_k8,8,3,512,0.5734790683593755,0.5349082246093756,0.5611552539062503
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k4,4,1,512,0.25721266796875,0.376448498046875,0.2572035312499999
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k4,4,2,512,0.2707666874999999,0.377777912109375,0.2691882753906248
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k4,4,3,512,0.2446386640624999,0.381211404296875,0.2467245722656249
